"ncue","P50","P41","econ_state_agg","P55","populist_agg","NSE_AGR"
613,1,NA,1.1998762,2,0.37963954,4
614,3,8,NA,NA,-0.031451087,3
615,1,NA,-0.067131236,1,1.6127883,4
616,1,6,1.4766983,2,0.72283667,4
617,2,7,1.4766983,1,0.3355839,4
618,2,8,NA,2,-0.16390951,3
619,2,9,1.4766983,NA,-0.48574123,3
620,2,9,1.8026404,2,-0.75252736,3
621,2,NA,1.4766983,2,1.0823673,4
622,2,8,1.8026404,2,0.76589048,3
623,2,9,NA,2,1.5246657,3
624,2,8,1.8026404,2,1.0682261,4
625,2,9,1.4766983,2,0.58850896,3
626,1,5,NA,1,0.009867779,3
627,1,5,0.60857284,1,-0.52905941,3
628,1,5,0.60857284,1,0.77586716,2
629,1,5,NA,1,0.041209944,4
630,1,5,0.53563309,1,-0.61746222,4
631,1,5,0.53563309,1,-0.70471734,4
632,1,5,1.8026404,1,1.0480082,3
633,1,5,-0.65843457,2,-0.015985094,4
634,1,5,-0.65843457,1,-0.97786027,4
635,1,5,-0.65843457,1,0.29500246,3
636,1,5,0.60857284,1,0.26279286,4
637,1,5,1.8026404,1,-0.33246195,4
638,1,10,NA,1,0.40535799,3
639,2,9,0.87393397,2,0.841434,4
